id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4015465,5 minutes to Downtown Honky Tonks,5636016,Arshbir,District 19,36.15416186314227,-86.78246929856006,Shared room,120,1,3,2015-06-13,0.65,1,69
1951714,Vandy / Downtown Nashville Futon ,7720839,Michelle,District 19,36.14721163516454,-86.78758673111155,Shared room,69,1,5,2014-10-27,0.26,4,365
368961,Beautiful Condo Right On Music Row,1683708,Carlos And Cheryl,District 19,36.145762040255384,-86.79420114042527,Entire home/apt,125,3,28,2015-05-25,0.79,1,9
3122052,Music Row Condo-Songwriter's Dream,10872496,Kari,District 19,36.15174827492306,-86.78997613627651,Entire home/apt,190,2,41,2015-06-16,3.27,1,301
6255863,Music City Downtown 2-Story Cottage,32498896,Ricky,District 19,36.18164015679514,-86.79627995115578,Entire home/apt,165,3,11,2015-06-29,6.11,2,309
6672236,Trendy Downtown Nashville Apartment,6848550,Wesley,District 19,36.156402416422274,-86.76437094768764,Entire home/apt,155,2,2,2015-06-19,2,1,89
6256932,Riverfront Condo (Sleeps 16+),16246720,Sara And The Team,District 19,36.1644328887697,-86.77590965706443,Entire home/apt,850,1,0,,,22,357
5591141,Germantown - 1.7 mi to downtown,28988137,R.C. & Beth,District 19,36.181019063362974,-86.79417033177818,Entire home/apt,225,1,12,2015-07-07,4.74,1,68
3534875,Private room/North of Downtown ,17264513,PerriAnthony,District 19,36.17669012324478,-86.79767985623032,Private room,90,1,3,2015-06-05,0.70,2,320
6116020,Brand new  home! Germantown,31731554,Charlie,District 19,36.184807573744244,-86.79427460814678,Entire home/apt,1200,1,0,,,1,53
6139717,2400 SQ FT HOME 1.5 MI TO BROADWAY,25612600,Makenzie,District 19,36.183532639397555,-86.79555180496851,Entire home/apt,849,2,1,2015-06-29,1,1,282
5101176,3 BR/3.5 BA Germantown Townhome,14281459,Ashley,District 19,36.18395993984438,-86.79498104151554,Entire home/apt,250,2,7,2015-06-14,1.43,1,213
3518953,Charming 1BR Near Vandy / Belmont ,17718458,Felicia,District 19,36.144217647267446,-86.79323835349179,Entire home/apt,135,1,43,2015-06-19,3.63,1,70
6140754,Cozy Downtown Nashville Cottage,31855128,Donna,District 19,36.1773420578347,-86.79818517401957,Entire home/apt,135,1,6,2015-06-21,3.21,1,299
5069985,Loft on 2nd,319913,Amy & Paul,District 19,36.16481728608203,-86.77611261539,Entire home/apt,259,1,4,2015-07-05,1.40,14,321
6238833,Amazing Home Mins to Downtown,16805934,Rachael,District 19,36.179489719768235,-86.79340301640704,Entire home/apt,300,3,4,2015-07-07,3.00,2,326
6797701,The RobInn: Colorful Home with Pool,18338239,Robin,District 19,36.15151430526456,-86.78966496187172,Entire home/apt,210,2,1,2015-07-05,1,1,14
6291388,JUST AWARDED FIVE STARS FROM...,25783346,Steven,District 19,36.162365999421134,-86.77759775836432,Entire home/apt,318,1,7,2015-07-02,3.62,2,124
3661984,Spacious Downtown Condo,18561357,Ashley & Daniel,District 19,36.17126904017993,-86.78115553827418,Entire home/apt,249,1,3,2015-05-18,0.71,1,99
5759335,Massive Palace Close to Downtown!,18071351,Daniel,District 19,36.171609086566754,-86.79352848507017,Entire home/apt,980,2,1,2015-04-12,0.33,1,362
6677744,Amazing condo in the GULCH!!!,34947288,Alex,District 19,36.15377543293352,-86.78338178483374,Entire home/apt,399,1,2,2015-07-05,2,1,21
5245983,Living Room in Midtown Apartment,25616030,Shawn,District 19,36.14965122869015,-86.79555557454805,Shared room,39,1,7,2015-06-16,2.12,2,23
6302608,AMAZING LOCATION MIDTOWN NASHVILLE,26074440,Wesley,District 19,36.15019864535948,-86.79456075338412,Entire home/apt,150,2,1,2015-05-15,0.64,1,357
6305452,Midtown Hot Spot on Broadway,32798302,Michael,District 19,36.150914397465684,-86.79852420446393,Entire home/apt,115,2,6,2015-06-09,4.00,1,82
6298937,Music Row Luxury Condo,32755422,Kate,District 19,36.145804276165435,-86.7929736925452,Entire home/apt,275,2,5,2015-06-22,3.49,1,18
6833907,Downtown Hostel - Bunk Bed #5,16246720,Sara And The Team,District 19,36.16509926321302,-86.77696466462967,Shared room,35,1,0,,,22,180
5258807,New Modern Home in Great Location,12913265,M.E.S.,District 19,36.14887896094726,-86.78982289545262,Entire home/apt,500,1,3,2015-04-20,0.90,1,363
6835573,Downtown Hostel - Bunk Bed #6,16246720,Sara And The Team,District 19,36.163643311933406,-86.77642593200109,Shared room,35,1,0,,,22,177
6320872,NEW downtown loft w/ best location!,32883345,Rhett,District 19,36.16302128406414,-86.77646698795662,Entire home/apt,300,2,0,,,1,132
