room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17766540,1271,14128230,Shared room,,Nashville,,32,12,5.0,3,1.0,,20.0,,2017-05-16 10:05:44.947101,36.056904,-86.639076,0101000020E610000025EA059FE6A855C07C8159A148074240
17929264,1271,48301683,Shared room,,Nashville,,24,0,0.0,1,1.0,,29.0,,2017-05-16 10:05:44.932237,36.142836,-86.857516,0101000020E6100000FEF2C98AE1B655C08258367348124240
6833907,1271,16246720,Shared room,,Nashville,,19,47,5.0,4,1.0,,32.0,,2017-05-16 10:05:44.928947,36.164759,-86.777094,0101000020E6100000BEFA78E8BBB155C05F5CAAD216154240
18378275,1271,71979712,Shared room,,Nashville,,15,3,4.5,1,1.0,,26.0,,2017-05-16 10:05:44.926032,36.171748,-86.698529,0101000020E6100000AF93FAB2B4AC55C0A393A5D6FB154240
18541103,1271,894612,Shared room,,Nashville,,21,4,4.5,1,1.0,,11.0,,2017-05-16 10:05:44.915446,36.17391,-86.804278,0101000020E61000001BB96E4A79B355C04339D1AE42164240
18525618,1271,47061664,Shared room,,Nashville,,12,0,0.0,1,1.0,,20.0,,2017-05-16 10:05:44.913279,36.152701,-86.594995,0101000020E61000002592E86514A655C08388D4B48B134240
9752399,1271,17574060,Shared room,,Nashville,,8,119,5.0,1,1.0,,29.0,,2017-05-16 10:05:44.910342,36.227291,-86.742899,0101000020E6100000CA4E3FA88BAF55C06BD619DF171D4240
16331761,1271,89111666,Shared room,,Nashville,,13,52,5.0,2,1.0,,30.0,,2017-05-16 10:05:44.907701,36.123584,-86.705217,0101000020E610000054E57B4622AD55C08927BB99D10F4240
6835573,1271,16246720,Shared room,,Nashville,,19,99,5.0,4,1.0,,32.0,,2017-05-16 10:05:44.891391,36.163643,-86.776426,0101000020E6100000E770ADF6B0B155C0139CFA40F2144240
18541619,1271,894612,Shared room,,Nashville,,21,2,0.0,1,1.0,,11.0,,2017-05-16 10:05:44.888492,36.173008,-86.804195,0101000020E6100000D5264EEE77B355C023F94A2025164240
8668014,1271,45536181,Entire home/apt,,Nashville,,24,13,5.0,8,3.0,,600.0,,2017-05-16 09:50:40.331433,36.131565,-86.827905,0101000020E610000079CC4065FCB455C02D26361FD7104240
11981058,1271,39918714,Entire home/apt,,Nashville,,6,35,5.0,12,4.0,,775.0,,2017-05-16 09:45:47.075016,36.166794,-86.741704,0101000020E6100000FED30D1478AF55C0A3957B8159154240
17143956,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:45:45.334467,36.163857,-86.779698,0101000020E61000006CB07092E6B155C03F1C2444F9144240
12359760,1271,20040786,Entire home/apt,,Nashville,,23,0,0.0,11,5.0,,565.0,,2017-05-16 09:45:41.244610,36.09624,-86.892165,0101000020E6100000B2683A3B19B955C09548A297510C4240
13642576,1271,79167541,Entire home/apt,,Nashville,,18,17,5.0,8,3.0,,600.0,,2017-05-16 09:45:32.939805,36.1281,-86.79151,0101000020E61000003F1D8F19A8B255C00E4FAF9465104240
17866054,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:38:25.482345,36.150847,-86.782276,0101000020E6100000861C5BCF10B255C090D959F44E134240
15371548,1271,98194030,Entire home/apt,,Nashville,,18,11,5.0,10,5.0,,975.0,,2017-05-16 09:38:19.571855,36.133841,-86.819662,0101000020E610000088F19A5775B455C095EEAEB321114240
8188686,1271,43193876,Entire home/apt,,Nashville,,19,34,5.0,12,4.0,,849.0,,2017-05-16 09:38:14.451947,36.148512,-86.785617,0101000020E6100000A08B868C47B255C02288F37002134240
2288174,1271,11697248,Entire home/apt,,Nashville,,25,1,0.0,8,4.0,,700.0,,2017-05-16 09:38:09.933155,36.110649,-86.797092,0101000020E6100000CFF9298E03B355C0E52A16BF290E4240
3490022,1271,17574894,Entire home/apt,,Nashville,,17,18,5.0,10,4.0,,699.0,,2017-05-16 09:38:03.161197,36.122379,-86.784226,0101000020E610000011AB3FC230B255C0CD5B751DAA0F4240
18562392,1271,57954952,Entire home/apt,,Nashville,,17,0,0.0,8,4.0,,650.0,,2017-05-16 09:37:53.329540,36.119052,-86.786165,0101000020E6100000A110018750B255C0FF428F183D0F4240
4557628,1271,6855810,Entire home/apt,,Nashville,,17,2,0.0,16,10.0,,80.0,,2017-05-16 09:25:33.439736,36.126439,-86.779172,0101000020E61000005F7D3CF4DDB155C02FF834272F104240
17172043,1271,106505883,Entire home/apt,,Nashville,,6,4,4.0,5,2.0,,73.0,,2017-05-16 09:25:01.721588,36.175745,-86.747672,0101000020E6100000A208A9DBD9AF55C0BFB7E9CF7E164240
14217574,1271,85360355,Entire home/apt,,Nashville,,6,40,5.0,6,2.0,,69.0,,2017-05-16 09:25:00.069819,36.179798,-86.734554,0101000020E610000058C9C7EE02AF55C06FF1F09E03174240
16310161,1271,105602635,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:24:44.457980,36.168085,-86.783416,0101000020E610000071CADC7C23B255C05DF92CCF83154240
16311794,1271,105602635,Entire home/apt,,Nashville,,21,0,0.0,4,1.0,,899.0,,2017-05-16 09:24:44.419640,36.153425,-86.797367,0101000020E610000037FA980F08B355C0C4B12E6EA3134240
16310274,1271,105602635,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,899.0,,2017-05-16 09:24:44.387905,36.169479,-86.783354,0101000020E610000036CCD07822B255C0ED2DE57CB1154240
17865271,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,4,1.0,,999.0,,2017-05-16 09:24:44.330646,36.150283,-86.782508,0101000020E6100000F0366F9C14B255C088122D793C134240
17866420,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,4,1.0,,999.0,,2017-05-16 09:24:44.271828,36.15032,-86.783083,0101000020E61000006EC328081EB255C0A5F78DAF3D134240
17734529,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,999.0,,2017-05-16 09:24:44.162269,36.158287,-86.766289,0101000020E6100000369204E10AB155C0E43098BF42144240
17143954,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:24:42.571779,36.16392,-86.7816,0101000020E61000006EA301BC05B255C085949F54FB144240
17143961,1271,114353388,Entire home/apt,,Nashville,,19,1,0.0,5,2.0,,899.0,,2017-05-16 09:24:42.535174,36.162252,-86.781801,0101000020E6100000BABE0F0709B255C0F5DA6CACC4144240
8388952,1271,39918714,Entire home/apt,,Nashville,,18,34,5.0,12,4.0,,775.0,,2017-05-16 09:24:42.513677,36.128456,-86.793007,0101000020E6100000F19F6EA0C0B255C0CC7C073F71104240
16311018,1271,105602635,Entire home/apt,,Nashville,,21,2,0.0,4,1.0,,899.0,,2017-05-16 09:24:41.683660,36.155662,-86.798262,0101000020E6100000EEE87FB916B355C06F9D7FBBEC134240
3584983,1271,18060040,Entire home/apt,,Nashville,,34,9,5.0,8,4.0,,900.0,,2017-05-16 09:24:40.105574,36.103229,-86.834352,0101000020E61000008A56EE0566B555C0D87F9D9B360D4240
5230048,1271,7198421,Entire home/apt,,Nashville,,17,42,5.0,10,4.0,,525.0,,2017-05-16 09:24:29.417267,36.128457,-86.786717,0101000020E6100000438D429259B255C09CF86A4771104240
